,ID,縣市,單價,wgs84_x,wgs84_y
7,TR-8,桃園市,1.2079997328345549,24.9135290479792,121.2079681278111
9,TR-10,桃園市,1.254845140573565,24.937134096466693,121.23515845253975
24,TR-25,桃園市,1.348535956051585,25.01520573852204,121.30311745378607
28,TR-29,桃園市,1.8169900334416844,24.92628335718044,121.2812563094296
34,TR-35,桃園市,1.5359175870076247,25.007861114641535,121.20550121067104
38,TR-39,桃園市,0.9737726941395052,24.962401534691697,121.25351857625321
40,TR-41,桃園市,1.2314224367040598,25.047962936636406,121.30181045749544
50,TR-51,桃園市,0.9503499902700004,24.93722185638947,121.23675280825474
69,TR-70,桃園市,1.7092455956419617,25.008745286461867,121.21235869581704
90,TR-91,桃園市,1.2314224367040598,25.052031440842093,121.36370436263486
97,TR-98,桃園市,1.7701446257026745,25.00163961606457,121.20620416206124
108,TR-109,桃園市,1.32511325218208,25.061830674376633,121.1932707690672
124,TR-125,桃園市,1.6296084024856448,25.01182651363536,121.29546038526405
127,TR-128,桃園市,1.0674635096175251,25.02564641928186,121.29666270864801
142,TR-143,桃園市,2.1449078876147545,25.000807151589825,121.29334368033854
145,TR-146,桃園市,1.32511325218208,24.974536491868523,121.32302528991289
149,TR-150,桃園市,0.9971953980090102,24.91167098224844,121.16296063021979
154,TR-155,桃園市,1.6530311063551495,25.0572987912509,121.29700647204383
157,TR-158,桃園市,1.13773162122604,25.010331101485676,121.31154677325922
181,TR-182,桃園市,1.0440408057480202,24.964623261333173,121.23085290709969
183,TR-184,桃園市,1.058094428069723,24.946096153655446,121.25884244076113
186,TR-187,桃園市,0.9503499902700004,24.984566705898526,121.28795613588919
194,TR-195,桃園市,0.9269272864004954,24.960478791843386,121.25859520831695
208,TR-209,桃園市,1.0206181018785152,24.932269789409133,121.28568590735564
230,TR-231,桃園市,0.9035045825309904,24.980495244411063,121.25826065093648
233,TR-234,桃園市,1.114308917356535,24.96939985117656,121.32694389288888
237,TR-238,桃園市,1.254845140573565,24.942721223711892,121.20562076637458
257,TR-258,桃園市,1.32511325218208,25.020508755156698,121.3102150021016
273,TR-274,桃園市,1.114308917356535,25.005142979007612,121.31858760665874
285,TR-286,桃園市,0.7161229515749503,24.922360239444473,121.29311820810234
300,TR-301,桃園市,1.395381363790595,24.983115740051087,121.27218328676572
317,TR-318,桃園市,1.9668953382065164,25.002800533469177,121.28969272420095
318,TR-319,桃園市,1.5406021277815256,25.001784472644037,121.29675398618642
319,TR-320,桃園市,1.2314224367040598,24.9263375621279,121.29065238734181
352,TR-353,桃園市,0.9269272864004954,24.942597943542463,121.21617634601293
356,TR-357,桃園市,1.09088621348703,24.984994222901573,121.30449946242112
357,TR-358,桃園市,0.9971953980090102,25.0147925831572,121.31082484046159
391,TR-392,桃園市,0.7629683593139605,25.000057961724142,121.36654305249654
425,TR-426,桃園市,1.114308917356535,24.97149879055969,121.2276467597892
440,TR-441,桃園市,1.32511325218208,25.020598201609555,121.25875074180394
448,TR-449,桃園市,1.37195865992109,24.93081342236021,121.28241513470523
