,ID,縣市,單價,wgs84_x,wgs84_y
11,TR-12,台中市,1.114308917356535,24.115473694362674,120.6703032492056
13,TR-14,台中市,2.051217072136734,24.14676274444364,120.64328140190801
16,TR-17,台中市,1.09088621348703,24.181446276056146,120.614474377743
30,TR-31,台中市,1.2314224367040598,24.17320781521704,120.61297363238221
42,TR-43,台中市,1.8638354411806943,24.18442264540974,120.70621985388694
45,TR-46,台中市,1.09088621348703,24.254862099527177,120.72188435517019
46,TR-47,台中市,1.6530311063551495,24.11812773825972,120.66587931787878
52,TR-53,台中市,1.114308917356535,24.180501171266226,120.61564846880295
62,TR-63,台中市,2.425980334048814,24.171570249120396,120.66090804258918
65,TR-66,台中市,1.0440408057480202,24.18945050733092,120.70083395381768
67,TR-68,台中市,1.27826784444307,24.159951674533108,120.71490635494011
71,TR-72,台中市,1.0674635096175251,24.130223471865982,120.65613717485813
73,TR-74,台中市,1.7935673295721797,24.202404757704056,120.70405231163073
82,TR-83,台中市,1.0206181018785152,24.173065018231387,120.68862878764408
93,TR-94,台中市,1.4656494753991098,24.103400517793997,120.68703669966443
117,TR-118,台中市,0.9831417756873072,24.160199094640312,120.69349188990577
136,TR-137,台中市,1.395381363790595,24.181723361714965,120.71599974439992
138,TR-139,台中市,1.8638354411806943,24.165855183134738,120.63754992595571
144,TR-145,台中市,1.7232992179636646,24.175141955153865,120.639531485296
166,TR-167,台中市,0.9503499902700004,24.133133877750307,120.6656042099693
169,TR-170,台中市,1.6061856986161398,24.153580483537212,120.63590185292699
195,TR-196,台中市,1.0674635096175251,24.184055864420397,120.6217403099816
215,TR-216,台中市,1.5359175870076247,24.1894042662953,120.61575959886204
218,TR-219,台中市,1.0206181018785152,24.158877501796965,120.67871409941066
222,TR-223,台中市,1.348535956051585,24.110834896021956,120.65497901278964
224,TR-225,台中市,0.9737726941395052,24.12806938229466,120.67440313308472
249,TR-250,台中市,1.4656494753991098,24.191206060784864,120.6106061710653
